member_name,sitting_date,parliamentary_period,parliamentary_session,parliamentary_sitting,political_party,government,member_region,roles,member_gender,speech
,04/07/1989,period 5,session 1,sitting 2,βουλη,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],,,," Μάλιστα, μάλιστα."
τσαλδαρης κωνσταντινου αθανασιος,04/07/1989,period 5,session 1,sitting 2,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Η Βουλή παρέσχε τη ζητηθείσα εξουσιοδότηση. Με τη συναίνεση του Σώματος και ώρα 20,50'λύεται η συνεδρίαση για αύριο Τετάρτη 5 Ιουλίου 1989 και ώρα 18.00 με αντικείμενο ημερησίας διατάξεως εκλογή Προεδρείου: Αντιπροέδρων, Κοσμητόρων και Γραμματέων. Ο ΠΡΟΕΔΡΟΣΟΙ ΓΡΑΜΜΑΤΕΙΣΣΕΛΙΔΑ 0008"
τσαλδαρης κωνσταντινου αθανασιος,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Κύριοι συνάδελφοι, κηρύσσεται η έναρξη της συνεδρίασης. ("
τσοβολας κωνσταντινου δημητριος,05/07/1989,period 5,session 1,sitting 3,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],β' αθηνων,['βουλευτης'],male," Κύριε Πρόεδρε, δεν έχουν μοιραστεί όλα τα ψηφοδέλτια, ούτε τα λευκά."
τσαλδαρης κωνσταντινου αθανασιος,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Μοιράζονται τώρα, κύριε Τσοβόλα. Παρακαλώ τους κλητήρες να μοιράσουν τα ψηφοδέλτια. Διαμαρτύρονται οι συνάδελφοι, ότι δεν έχουν ψηφοδέλτια. Κύριοι συνάδελφοι, άρχεται η ψηφοφορία.    "
τσαλδαρης κωνσταντινου αθανασιος,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Υπάρχει κανείς από τους κυρίους συναδέλφους πού δεν ψήφισε; Κανείς. Κηρύσσεται περαιωμένη η ψηφοφορία. Παρακαλώ τους κυρίους συναδέλφους επί των ψηφοδόχων να καθίσουν στα έδρανα αριστερά του Προεδρείου και να αρχίσουν τη διαλογή. Στην κάλπη του Α` Αντιπροέδρου, ο κ. Σταύρου και ο κ. Ρέππας. Στην κάλπη των Β` και Γ` Αντιπροέδρων, ο κ. Γεροντόπουλος και ο κ. Παπαδάκης. Στην κάλπη των Δ` και Ε` Αντιπροέδρων, ο κ. Καπαχτσής και ο κ. Τριαρίδης. Στην κάλπη Κοσμητόρων και Γραμματέων από το Κόμμα της Συμπολιτεύσεως, ο κ. Μαμωνάς και ο κ. Στάμος. Στην κάλπη Κοσμήτορος και Γραμματέων από το Κόμμα της Αντιπολιτεύσεως, ο κ. Παπαθανασίου και ο κ. Καραμούτσος.    "
τσαλδαρης κωνσταντινου αθανασιος,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Κύριοι συνάδελφοι, κατά τη διεξαχθείσα μυστική ψηφοφορία για το αξίωμα του Α` Αντιπροέδρου εψήφισαν 292 Βουλευτές. Μετά την καταμέτρηση και διαλογή των ψήφων, έλαβε η κα Μαρία Δαμανάκη 165 ψήφους, λευκά 123, άκυρα 4.   Παρακαλώ την κα Δαμανάκη, να καταλάβει τη θέση της στην Έδρα. Κατά τη διεξαχθείσα μυστική ψηφοφορία για το αξίωμα των Β` και Γ` Αντιπροέδρων, εψήφισαν 296 Βουλευτές. Μετά την καταμέτρηση και διαλογή των ψήφων έλαβαν για το αξίωμα του Β` Αντιπροέδρου ο κ. Νικόλαος Κατσαρός 166 ψήφους και για το αξίωμα του Γ` Αντιπροέδρου ο κ. Θεόδωρος Αναγνωστόπουλος 166 ψήφους.  . Παρακαλώ να έλθουν να καταλάβουν τη θέση τους στην Έδρα. Κατά τη διεξαχθείσα μυστική ψηφοφορία για τους Δ` και Ε` Αντιπροέδρους, ψήφισαν 292 Βουλευτές. Μετά την καταμέτρηση και δια-ΣΕΛΙΔΑ 0010λογή των ψήφων, έλαβαν για το αξίωμα του Δ` Αντιπροέδρου της Βουλής ο κ. Παναγιώτης Κρητικός 155 ψήφους και για το αξίωμα του Ε` Αντιπροέδρου της Βουλής ο κ. Γεώργιος Μωραϊτης 155 ψήφους.   Παρακαλώ να έλθουν να καταλάβουν τη θέση τους στην Έδρα. Κατά τη διεξαχθείσα μυστική ψηφοφορία για το αξίωμα των Κοσμητόρων ψήφισαν 296. Έλαβαν για το αξίωμα των Κοσμητόρων από τη Συμπολίτευση ο κ. Βύρων Πολύδωρας 167 ψήφους, ο κ. Θεόδωρος Δαμιανός 167 ψήφους και για το αξίωμα του Κοσμήτορος από την Αντιπολίτευση ο κ. Ιωάννης Φλώρος 151 ψήφους.   Για το αξίωμα των Γραμματέων από τη Συμπολίτευση έλαβαν ο κ. Γεώργιος Βουλγαράκης 165 ψήφους, ο κ. Ευάγγελος Μπασιάκος 167 ψήφους, ο κ. Σπυρίδων Ταλιαδούρος 167 ψήφους και ο κ. Κωνσταντίνος Καραμανλής 167 ψήφους. Για το αξίωμα των Γραμματέων από την Αξιωματική Αντιπολίτευση έλαβαν η κα Μαρία Θωμά 151 ψήφους και ο κ. Αντώνιος Κωτσακάς 151 ψήφους.   Θα παρακαλέσω τον κ. Πρόεδρο της Κυβερνήσεως να διαβάσει το Διάταγμα ενάρξεως της Συνόδου."
τζαννετακης πετρου τζαννης,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],α' αθηνων,"['υπουργος τουρισμου(07/03/1989-10/12/1989)', 'υπουργος εξωτερικων(07/02/1989-10/12/1989)', 'πρωθυπουργος(07/02/1989-10/12/1989)']",male," ~""ΕΦΗΜΕΡΙΣ ΤΗΣ ΚΥΒΕΡΝΗΣΕΩΣ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ ΑΘΗΝΑ ΤΕΥΧΟΣ ΠΡΩΤΟ ΑΡΙΘΜΟΣ ΦΥΛΛΟΥ 8 ΙΟΥΛΙΟΥ 1989 182 ΠΡΟΕΔΡΙΚΟ ΔΙΑΤΑΓΜΑ ΥΠ` ΑΡΙΘ. 423Κήρυξη των εργασιών της Α` Τακτικής Συνόδου της Ε` Περιόδου της Βουλής   Ο Π Ρ Ο Ε Δ Ρ Ο Σ ΤΗΣ ΕΛΛΗΝΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ Έχοντας υπόψη τις διατάξεις: α) του άρθρου 40 παρ. 1 του Συντάγματος β) του αριθ. 329/3-6-89 Π. Δ/τος ~""Λήξη της Βουλευτικής Περιόδου, ορισμός ημέρας εκλογής Βουλευτών και σύγκληση της Βουλής""~, με πρόταση του Πρωθυπουργού, Κ η ρ ύ σ σ ο υ μ ε : την έναρξη των εργασιών της Α` Τακτικής Συνόδου της Ε` Περιόδου της Βουλής  , η διακοπή ή η λήξη των οποίων θα καθοριστεί με Προεδρικό Διάταγμα. Ο Πρωθυπουργός να δημοσιεύσει και να ανακοινώσει αυτό το Διάταγμα στη Βουλή, σύμφωνα με το άρθρο 2 του Κανονισμού της Βουλής. Αθήνα, 5 Ιουλίου 1989 Ο ΠΡΟΕΔΡΟΣ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ ΧΡΗΣΤΟΣ ΑΝΤ. ΣΑΡΤΖΕΤΑΚΗΣ Ο ΠΡΩΘΥΠΟΥΡΓΟΣ ΤΖΑΝΝΗΣ Π. ΤΖΑΝΝΕΤΑΚΗΣ""~"
τσαλδαρης κωνσταντινου αθανασιος,05/07/1989,period 5,session 1,sitting 3,νεα δημοκρατια,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],επικρατειας,['ε προεδρος βουλης(07/04/1989-21/11/1989)'],male," Κύριοι συνάδελφοι, έχω την τιμή να ανακοινώσω στο Σώμα, ότι σύμφωνα με το άρθρο 86 παρ. 2 του Συντάγματος και 153 παρ.4 του Κανονισμού της Βουλής, περιήλθαν στον Πρόεδρο της Βουλής κ. Αλευρά οι υπ. αριθμ. 293 και 294/13-6-89 ανακοινώσεις των Εφετών Ανακριτών κυρίων Γ. Σκαρλάτου και Ε. Κρουσταλλάκη, συνοδευόμενες από καταστάσεις και φωτοτυπίες αποδεικτικών στοιχείων. Οι δύο ανακοινώσεις και τα σχετικά στοιχεία είχαν παραδοθεί προ της συγκλήσεως της παρούσης Βουλής στον προκάτοχό μου Πρόεδρο της Βουλής κ. Ι. Αλευρά, ο οποίος χθες και μετά την ανάδειξή μου σαν Προέδρου της Βουλής, μου παρέδωσε τους σχετικούς φακέλους. Με την υπ` αριθμ. 293 ανακοίνωση ο Εφέτης Ανακριτής κ. Γεώργιος Σκαρλάτος θέτει υπόψη της Βουλής τα επισυναπτόμενα σ` αυτήν αποδεικτικά στοιχεία, για να αποφασίσει λόγω αρμοδιότητας, αν συντρέχει η περίπτωση ποινικής διώξεως κατά των πρώην Υπουργών κυρίων Αγαμέμνονα Κουτσόγιωργα και Γεωργίου Πέτσου. Με την 294 ανακοίνωση, ο Εφέτης Ανακριτής κ. Κρουσταλλάκης θέτει υπόψη της Βουλής, τα επισυναπτόμενα σ' αυτήν αποδεικτικά στοιχεία για την τέλεση αξιοποίνων πράξεων από τον πρώην Υπουργό κ. Γεώργιο Πέτσο. Έχω την τιμή να καταθέσω τους φακέλους στη Βουλή για να διανεμηθούν στους κυρίους συναδέλφους. Επίσης ανακοινούται ότι ο Εισαγγελεύς Εφετών Αθηνών κ. Δωρής διεβίβασε στη Βουλή των Ελλήνων, λόγω αρμοδιότητος, καταγγελία των ιδιωτών κ. Γεωργίου Μάστορα, κατά του πρώην Υπουργού κ. Τσοβόλα, καθώς και υπηρεσιακό αντίγραφο μήνυσης του κ. Λαγού, κατά του αυτού ως άνω Υπουργού, δεδομένου ότι οι αναφερόμενες στα παραπάνω έγγραφα και αξιόποινες, κατά τα καταγγέλλοντα, πράξεις, φέρονται τελεσθείσες από τον πρώην Υπουργό, κατά την εκτέλεση του καθήκοντός του. Τα ως άνω έγγραφα βρίσκονται στη Διεύθυνση Νομοθετικού Έργου, από όπου μπορούν οι ενδιαφερόμενοι Βουλευτές να λάβουν γνώση. Επίσης καταθέτω δήλωση του Προέδρου του ΠΑΣΟΚ, κ. Ανδρέα Παπανδρέου, για τα Πρακτικά της Βουλής, και παρακαλώ τους κυρίους συναδέλφους να λάβουν γνώση."
,05/07/1989,period 5,session 1,sitting 3,πανελληνιο σοσιαλιστικο κινημα,['τζαννετακη τζαννη(02/07/1989-12/10/1989)'],,,, Να μας τη διαβάσετε.
